,word,frequency,example,misspelling,correction
16,geenral,4,Geenral Electric Company,YES,general
17,generalni,18,"Elitex, Zavody textilniho strojirenstvi generalni reditalstvi",UNK,general
18,generalne,1,"Zavody tazkeho strojarstva, generalne riaditelstvo, Martin",UNK,general
19,generales,115,"Societe Nord-France d'Entreprises, Generales et de Constructions en beton arne",YES,general
20,generalde,1,Compagnie Generalde des Matieres Nucleaires,UNK,general
21,gerneral,7,Gerneral Electric Company,YES,general
22,geral,3,Elfusa Geral de Electgrofusao Ltda,UNK,general
23,gentera,1,"Gentera Holdings, LLC",YES,general
24,genrale,1,COMPAGNIE GENRALE DES ETABLISSEMENTS MICHELIN,YES,general
25,genetal,1,Industrial Technology Research Institute and Genetal Semiconductor of,YES,general
26,genersl,1,Genersl Binding Corporation,YES,general
27,generle,1,Compagnie Generle des Etablissements Michelin-Michelin & Cie,YES,general
28,generel,2,Generel Electric Company,YES,general
29,generay,2,Generay Electric Company,YES,general
30,generae,1,"Generae Power Systems, Inc.",YES,general
31,generac,79,"Generac Power Systems, Inc.",YES,general
32,genenal,1,Genenal Electric Company,YES,general
33,geneale,1,Essilor International Cie Geneale d'Optique,YES,general
34,genea,10,"Genea Energy Partners, Inc.",UNK,general
35,genal,22,"Genal Strap, Inc.",YES,general
36,gneral,2,Gneral Electric Company,YES,general
37,gernal,2,Gernal Dynamics (Convair),YES,general
38,greenrail,2,GREENRAIL S.R.L.,YES,general
39,gernerale,1,Innovation Gernerale,YES,general
40,gentegra,4,GenTegra LLC,YES,general
41,genspera,8,"Genspera, Inc.",YES,general
42,genfrale,1,ESSiLOR INTERNATIONAL (COMPAGNIE GENFRALE D'OPTIQUE),YES,general
43,genetrol,2,"GeneTrol Biotherapeutics, Inc.",YES,general
44,generele,1,Societe Generele des Eaux Minerals de Vittel,YES,general
45,generaux,6,Etablissements Generaux de Mecanique de l'Ouest EGMO (Societe Anonyme),YES,general
46,generate,2,"Generate, Inc.",NO,general
47,geneheal,1,"Geneheal Biotechnology Co., Ltd.",YES,general
48,genrales,1,Cogema-Compagnie Genrales des Matieres Nucleaires,YES,general
49,gera,4,SRH Wald-Klinikum Gera gGmbH,UNK,general
50,gene,413,"Errant Gene Therapeutics, LLC",NO,general
51,geer,8,R.J. van Geer Beheer bv,UNK,general
52,gereral,1,Gereral Electric Company,YES,general
0,yamahan,1,Yamahan Corporation,YES,yamaha
1,yamah,5,Yamah Hatsudoki Kabushiki Kaisha,YES,yamaha
2,yahama,15,Yahama Corporation,YES,yamaha
3,yamahisa,1,"Yamahisa & Co., Ltd.",YES,yamaha
4,yamahara,1,Yamahara Hatsudoki Kabushiki Kaisha,YES,yamaha
5,yamaya,1,"Yamaya Sangyo Co., Ltd.",YES,yamaha
6,yamawa,7,"Yamawa Mfg. Co., Ltd.",YES,yamaha
7,yamata,2,"Yamata Scale Co., Ltd.",YES,yamaha
8,yamasa,126,Yamasa Corporation,YES,yamaha
9,yamana,1,Yamana Hatsudoki Kabushiki Kaisha,YES,yamaha
10,yamama,2,Yamama Corporation,YES,yamaha
11,yamaka,1,Yamaka Hatsudoki Kabushiki Kaisha,YES,yamaha
12,yamaho,8,"Yamaho Kogyo Co., Ltd.",YES,yamaha
13,yamada,312,"Yamada Manufacturing Co., Ltd.",YES,yamaha
14,yamashita,86,YAMASHITA RUBBER KABUSHIKI KAISHA,YES,yamaha
15,yamashina,11,YAMASHINA CORPORATION,YES,yamaha
16,yamahatsu,3,"Yamahatsu Sangyo Kaisha, Ltd.",YES,yamaha
17,yamahachi,8,"YAMAHACHI DENTAL MFG., CO.",YES,yamaha
18,yama,3,"Yama Co., Ltd.",YES,yamaha
19,yamha,1,"Yamha Motor Co., ltd.",YES,yamaha
20,yaham,1,"YAHAM OPTOELECTRONICS CO., LTD",YES,yamaha
0,googole,1,"Googole, Inc.",YES,google
1,googale,4,GOOGALE (2009) LTD.,YES,google
2,goolge,5,Goolge Inc,YES,google
3,googel,2,Googel LLC,YES,google
4,googe,3,Googe Inc.,YES,google
5,googol,1,"GOOGOL HOLDINGS CO., LTD",NO,google
6,goodle,1,Goodle Inc.,YES,google
7,goggle,1,GOGGLE LLC,NO,google
8,googlellc,1,GoogleLLC,YES,google
9,geologie,2,"DR. SPRANG Ingenieurgesellschaft für Bauwesen, Geologie und Umwelttechnik mbH",UNK ,google
0,manufactuuring,1,Physio-Control Manufactuuring Corporation,YES,manufacturing
1,manufacturting,2,"Murata Manufacturting Co., Ltd.",YES,manufacturing
2,manufacturring,1,"Watson & Chalin Manufacturring, Inc.",YES,manufacturing
3,manufacturiing,1,"Murata Manufacturiing Co., Ltd.",YES,manufacturing
4,manufactureing,2,Adjusta-Post Manufactureing Co.,YES,manufacturing
5,manufactouring,2,Minnesota Mining and Manufactouring Company,YES,manufacturing
6,manufaccturing,1,Classic Auto Air Manufaccturing LP,YES,manufacturing
7,manufacaturing,1,"Taiwan Semiconductor Manufacaturing Co., Ltd.",YES,manufacturing
8,manufaacturing,1,Numo Manufaacturing Co.,YES,manufacturing
9,mannufacturing,2,Minnesota Mining and Mannufacturing Company,YES,manufacturing
10,mnaufacturing,2,Semiconductor Mnaufacturing International (Beijing) Corporation,YES,manufacturing
11,maunfacturing,11,"Taiwan Semiconductor Maunfacturing Co., Ltd.",YES,manufacturing
12,maufacturing,46,"Hunter's Maufacturing Company, Inc.",YES,manufacturing
13,manufcturing,4,Miller Manufcturing Company,YES,manufacturing
14,manufcaturing,1,"Murata Manufcaturing Co., Ltd.",YES,manufacturing
15,manufaturing,16,"MURATA MANUFATURING CO., LTD.",YES,manufacturing
16,manufatcuring,1,Chartered Semiconductor Manufatcuring Ltd.,YES,manufacturing
17,manufacutring,27,Minnesota Mining & Manufacutring Company,YES,manufacturing
18,manufacuring,6,Star Manufacuring International Inc.,YES,manufacturing
19,manufacturnig,1,"TOYOTA MOTOR ENGINEERING & MANUFACTURNIG NORTH AMERICA, INC.",YES,manufacturing
20,manufacturng,3,"Biomet Manufacturng, LLC",YES,manufacturing
21,manufacturin,3,"International Engineering and Manufacturin, Inc.",YES,manufacturing
22,manufacturig,1,"TOYOTA MOTOR ENGINEERING & MANUFACTURIG NORTH AMERICA, INC.",YES,manufacturing
23,manufactuirng,6,Watkins Manufactuirng Corporation,YES,manufacturing
24,manufactuing,22,"J&M Manufactuing Co., Inc.",YES,manufacturing
25,manufactruing,32,"Toyota Motor Engineering & Manufactruing North America, Inc.",YES,manufacturing
26,manufactring,6,SEMICONDUCTOR MANUFACTRING INTERNATIONAL (BEIJING) CORPORATION,YES,manufacturing
27,manufactirung,1,Toyota Motor Entineering & Manufactirung North America Inc.,YES,manufacturing
28,manufacruting,1,"Eagle Rock Manufacruting, LLC",YES,manufacturing
29,manuafcturing,1,Vermeer Manuafcturing Company,YES,manufacturing
30,manuacturing,4,"Murata Manuacturing Co., Ltd.",YES,manufacturing
31,manfuacturing,4,Minnesota Mining and Manfuacturing Company,YES,manufacturing
32,manufactuturing,1,"Shindengen Electric Manufactuturing Co., Ltd.",YES,manufacturing
33,manufactururing,1,"New Venture Manufactururing & Service, Inc.",YES,manufacturing
34,manufacturinger,1,"ITT Manufacturinger Enterprises, Inc.",YES,manufacturing
35,manufacturingco,1,"Murata ManufacturingCo., Ltd.",YES,manufacturing
36,manufacturating,1,"Taiwan Semiconductor Manufacturating Company, Ltd.",YES,manufacturing
37,manufcacturing,1,"Murata Manufcacturing Co., Ltd.",YES,manufacturing
38,manufacuturing,11,"TAIWAN SEMICONDUCTOR MANUFACUTURING CO., LTD.",YES,manufacturing
39,manufacturning,2,"Taiyo Ink Manufacturning Co., Ltd.",YES,manufacturing
40,manufactuiring,1,"Taiwan Semiconductor Manufactuiring Co., Ltd.",YES,manufacturing
41,manufactruring,3,Booth Manufactruring Company,YES,manufacturing
42,manufacrturing,1,Semiconductor Manufacrturing International (Shanghai) Corporation,YES,manufacturing
43,manuafacturing,6,"Murata Manuafacturing Co., Ltd.",YES,manufacturing
44,manaufacturing,4,Elkay Manaufacturing Company,YES,manufacturing
45,manugacturing,3,"Hutzler Manugacturing Co., Inc.",YES,manufacturing
46,manufactuting,2,SHEN MANUFACTUTING COMPANY INCORPORATED,YES,manufacturing
47,manufacturung,1,"Moridge Manufacturung, Inc.",YES,manufacturing
48,manufacturint,2,Grand General Accessories Manufacturint,YES,manufacturing
49,manufactoring,25,Minnesota Mining and Manufactoring Company,YES,manufacturing
50,manufacting,13,"MURATA MANUFACTING CO., LTD.",YES ,manufacturing
51,manufactering,1,Sauder Manufactering Co.,YES,manufacturing
52,manufaaturing,1,"Murata Manufaaturing Co., Ltd.",YES,manufacturing
53,manfucaturing,2,Sukup Manfucaturing Co.,YES,manufacturing
54,manufacuting,4,"Toyota Motor Engineering & Manufacuting North America, Inc.",YES,manufacturing
55,manucaturing,1,Vermeer Manucaturing Co.,YES,manufacturing
56,manfucturing,1,"TAIWAN SEMICONDUCTOR MANFUCTURING CO., LTD.",YS,manufacturing
57,manuufacturing,1,"Toyota Motor Engineering & Manuufacturing North America, Inc.",YES,manufacturing
58,maanufacturing,1,Minnesota Mining & MAanufacturing Company,YES,manufacturing
59,manufactur,1,Deutsche Angelgerate Manufactur (DAM) Hellmuth Kuntze GmbH,YES,manufacturing
60,manufucturing,2,"Leviton Manufucturing Co., Inc.",YES,manufacturing
61,mnufacturing,1,"Murata Mnufacturing Co., Ltd.",YES,manufacturing
62,manfacturing,99,"Taiwan Semiconductor Manfacturing Company, Ltd.",YES,manufacturing
63,maunufacturing,2,"Murata Maunufacturing Co., Ltd.",YES,manufacturing
64,manufacturies,1,Taiwan Semiconductor manufacturies Company,NO,manufacturing
65,manufacturier,3,Manufacturier Wet Inc. / Wet Manufacturing Inc.,YES,manufacturing
66,munufacturing,1,"Taiwan Semiconductor Munufacturing Company, Ltd.",YES,manufacturing
67,menufacturing,2,"Koito Menufacturing Co., Ltd.",YES,manufacturing
68,manyfacturing,1,Elkay Manyfacturing Company,YES,manufacturing
69,manuracturing,1,"Taiwan Semiconductor Manuracturing Co., Ltd.",YES,manufacturing
70,mannfacturing,2,Classic Auto Air Mannfacturing LP,YS,manufacturing
71,manifacturing,1,"Dainippon Screen Manifacturing Co., Ltd.",YES,manufacturing
72,manafacturing,2,"Toyota Motor Engineering & Manafacturing North America, Inc.",YES,manufacturing
73,macufacturing,1,"Murata Macufacturing Co., Ltd.",YS,manufacturing
74,manufactury,3,National Brushes & Plastic Manufactury Ltd.,YES,manufacturing
75,manufacture,843,Design Manufacture Limited,NO,manufacturing
76,manufactura,4,"Manufactura de Articulos para el Hogar Aurora S.A. Industrial, Comercial, Inmobiliaria y Financiera CNT AR COD 03",NO ,manufacturing
77,manfactuing,1,"MITAYA MANFACTUING CO., LTD.",YES,manufacturing
78,manugacituring,1,J. Morita Manugacituring Corporation,YES,manufacturing
79,manufactures,154,Micro-Mega International Manufactures,NO,manufacturing
80,manufacturer,132,CREATIVE INTERNATIONAL CONCEPT (CIC) EYEWEAR MANUFACTURER LTD.,NO,manufacturing
81,manufactured,14,Tridem Manufactured Products Inc.,NO,manufacturing
82,manufacturas,24,"Manufacturas Siles, S.L.",NO,manufacturing
0,administrators,195,THE ADMINISTRATORS OF THE TULANE EDUCATIONAL FUND,NO,administrator
1,administratior,1,The United States of America as represented by the Administratior of NASA,YES,administrator
2,admininstrator,1,The United States of America as represented by the Admininstrator of the National Aeronautics and Space Administration,YES,administrator
3,admimnistrator,1,The United States of America as represented by the Admimnistrator of the National Aeronautics and Space Administration (NASA),YES,administrator
4,aministrator,3,The United States of America as represented by the Aministrator of the National Aeronautics and Space Administration,YES,administrator
5,adminstrator,53,"United States of America as represented by the Adminstrator, National Aeronautics and Space Administration",YES,administrator
6,adminsitrator,2,The United States of America as represented by the Adminsitrator of the National Aeronautics and Space Administration,YES,administrator
7,adminitrator,1,THE UNITED STATES OF AMERICA AS REPRESENTED BY THE ADMINITRATOR OF NASA,YES,administrator
8,administrtor,1,The United States of America as represented by the Administrtor of the National Aeronautics and Space Administration,YES,administrator
9,administrattors,1,The Administrattors of the Tulane Educational Fund,YES,administrator
10,admininstrators,1,The Admininstrators of the Tulane Educational Fund,YES,administrator
11,admninistrator,1,The United States of America as represented by the Admninistrator of the National Aeronautics and Space Administration,YES,administrator
12,administarator,1,The United States of America as represented by the Administarator of the National Aeronautics and Space Administration,YES,administrator
13,admistrator,2,The United States of America as represented by the Admistrator of the National Aeronautics and Space Administration,YES,administrator
14,adminstrators,4,The Adminstrators of the Tulane Educational Fund,YES,administrator
15,administraton,1,The United States of America as Represented by the Administraton of National Aeronautics and Space Administration,YES,administrator
16,administrater,1,"The United States of America as represented by the Administrater, national Aeronautics & Space Administration",YES,administrator
17,adiminstrator,1,THE UNITED STATES OF AMERICA AS REPRESENTED BY THE ADIMINSTRATOR OF NASA,YES,administrator
18,administratrix,1,"Josie M. Greer, administratrix",NO,administrator
19,administradora,1,"Administradora de Proyectos y Sistemas Avanzados, S.C.",NO,administrator
20,aidministrator,4,Aidministrator Nederland B.V.,YES,administrator
21,adiministrator,1,The United States of America as represented by the Adiministrator of the National Aeronautics and Space Administration,YES,administrator
22,administrare,1,The Administrare's of the Tulane Educational Fund,YES,administrator
23,administator,9,The United States of America as represented by the Administator of the United States National Aeronautics and Space Administration,YES,administrator
24,administrativos,5,Servicios Administrativos Peñoles S.A. de C.V.,NO,administrator
25,administrations,5,"Manufacturing Administrations Management Systems, Inc.",NO,administrator
26,admininstration,1,The United States of America as represented by the Administrator of the National Aeronautics & Space Admininstration,YES,administrator
27,aministration,1,The United States of America as represented by the Aministration of the National Aeronautics and Space Administration,YES,administrator
28,adminstradora,1,Adminstradora de Patentes de Invencion Cono Sur S.A.,YES,administrator
29,administratie,1,Administratie - en Automatisergscentrum Vulcaan B.V.,YES,administrator
30,administraion,3,The United States of America as Represented by the Administrator of National Aeronautics and Space Administraion,YES,administrator
31,administracao,3,Manegro Administracao e Paticipacoes Ltda,UNK,administrator
32,administation,2,The United States of America as represented by the Administrator of the National Aeronautics and Space Administation,YES,administrator
33,administators,1,Administators of the Tulane Educational Fund,YES,administrator
34,adnministration,1,"The United States of America as represented by the Administrator, National Aeronautics and Space Adnministration",YES,administrator
35,administrative,304,National Institute of Information and Communications Technology Incorporated Administrative Agency,NO,administrator
36,administracion,1,Administracion General de la Comunidad Autonoma de Euskadi,NO,administrator
37,adminstration,38,United States of America as Represented by the Adminstrator of National Aeronautics and Space Adminstration,YES,administrator
0,constructions,351,Societe Montalbanaise de Constructions Mecaniques,NO,construction
1,constructioin,1,Societe Nationale d'Etude et de Constructioin de Moteurs d'Aviation,YES,construction
2,construcation,1,"Hitachi Construcation Machinery Co., Ltd.",YES,construction
3,costruction,1,"Shimizu Costruction Co., Ltd.",YES,construction
4,contruction,14,"Doosan Heavy Industries Contruction Co., Ltd",YES,construction
5,consturction,1,Societe Nationale d'Etude et de Consturction de Moteurs d'Aviation (SNECMA),YES,construction
6,constuction,6,Sandvik Mining and Constuction Oy,YES,construction
7,constrution,1,"KEPCO ENGINEERING & CONSTRUTION COMPANY, INC.",YES,construction
8,constructon,4,"RUENTEX ENGINEERING & CONSTRUCTON, CO., LTD.",YES,construction
9,constructio,1,Societe de Constructio des Avions Hurel-Dubois,YES,construction
10,construciton,1,"Xuzhou Construciton Machinery Group Co., Ltd.",YES,construction
11,construcion,3,Societe de Construcion des Avions Hurel-Dubois (societe anonyme,YES,construction
12,consrtuction,1,Societe Nationale d'Etude et de Consrtuction de Moteurs d'Aviation SNECMA,YES,construction
13,consutruction,1,Volvo Consutruction Equipment AB,YES,construction
14,construtions,1,"Societe d'Etudes, Recherches et Construtions Electroniques - Sercel",YES,construction
15,construktion,1,Olle Larsson Construktion AB,YES,construction
16,constructons,1,Societe d'Etudes et de Constructons Aeor-Navales,YES,construction
17,constructing,1,Atlas Copco Constructing and Mining Technique AB,NO,construction
18,constructivos,1,"DYWIDAG SISTEMAS CONSTRUCTIVOS, S.A.",YES,construction
19,constructilor,1,Institutul de Cergetari in Constructii si Economia Constructilor Incerc,YES,construction
20,construct,6,"Construct Medical Pty, Ltd.",NO,construction
21,contructing,1,Designing-Contructing and Industrial-Inculcating Enterprise “Daymos Ltd.”,YES,construction
22,constructor,10,Electrolux Constructor Aktiebolag,NO,construction
23,constructiv,1,"Burkhardt Leitner Constructiv GbmH & Co., KG",YES,construction
24,constructii,9,Institul de Cercetari si Proiectari pentru Utulaje de Constructii de Drumuri (I.C.PU.C.),YES,construction
25,constructie,9,Bagger-en Constructie Bedrijf Johan Klip B.V.,YES,construction
26,constructiilor,3,Institutul de Cercetari in Constructii si Economia Constructiilor,YES,construction
27,construcciones,71,"Construcciones Aeronauticas, S.A.",NO,construction
28,contstruction,1,"Doosan Heavy Industries Contstruction Co., Ltd",YES,construction
29,construzioni,51,AZIONARIA CONSTRUZIONI MACCHINE AUTOMATICHE A.C.M.A. S.P.A.,YES,construction
30,construzione,4,Comet - Construzione Occhiali Metallo S.p.A.,YES,construction
31,construtivos,1,WALLCLICK SISTEMAS CONSTRUTIVOS LTDA.,YES,construction
32,constructors,63,Raytheon Engineers & Constructors,NO,construction
33,constructora,4,"Tecsa Empresa Constructora, S.A.",YES,construction
34,constructive,9,"Constructive Industries, LLC",NO,construction
35,consructions,1,X-Tower Consructions GmbH,YES,construction
36,constructs,5,"Expressive Constructs, Inc.",NO,construction
37,contraption,1,Contraption Corporation,NO,construction
38,constuctive,1,Orah Constuctive Technologies Incorporated,YES,construction
39,constitution,10,"Constitution Medical, Inc.",NO,construction
0,telephonie,19,La Telephonie Industrielle et Commerciale Telic Alcatel,YES,telephone
1,telephones,104,Standard Telephones and Cables Public Limited Company,NO,telephone
2,telphone,3,Nippon Telegraph and Telphone Corporation,YES,telephone
3,telepone,2,Nippon Telegraph and Telepone Corporation,YES,telephone
4,telephon,7,Telephon- und Telegraphen-Fabriks-Aktiengesellschaft Kapsch & Sohne in Wien,YES,telephone
5,telehpone,1,Nippon Telegraph and Telehpone Corp.,YES,telephone
6,telehone,1,Nippon Telepgraph and Telehone Corporation,YES,telephone
7,telphon,1,Nippon Telegraph and Telphon Corporation,YES,telephone
8,telephony,46,"CONFINEMENT TELEPHONY TECHNOLOGY, LLC",NO,telephone
9,telephonique,35,Le Materiel Telephonique Thomson-CSF,YES,telephone
10,telephonic,2,Telephonic Equipment Corporation,YES,telephone
11,telephonax,2,"Telephonax, Inc.",YES,telephone
12,telepo,2,Telepo AB,YES,telephone
13,telene,3,Telene S.A.S.,YES,telephone
14,telethon,25,FONDAZIONE TELETHON,NO,telephone
15,telephonics,35,Telephonics Corporation,NO,telephone
16,teleprobe,1,Teleprobe Systems Inc.,YES,telephone
17,telepoint,1,Telepoint New Zealand Limited,YES,telephone
18,telepanel,1,"Telepanel, Inc.",YES,telephone
19,telehotel,1,Telehotel-TV-Systeme GmbH,YES,telephone
20,telefonie,50,"De Staat der Nederlanden, te Dezen Vertegenwoordigd Door de Directeur-Generaal der Posterijen, Telegrafie en Telefonie",YES,telephone
21,telechron,1,"Telechron, Inc.",YES,telephone
0,laboratotry,1,"Semiconductor Energy Laboratotry Co., Ltd.",YES,laboratory
1,labroatory,1,"The Charles Stark Draper Labroatory, Inc.",YES,laboratory
2,labortory,15,"Semiconductor Energy Labortory Co., Ltd.",YES,laboratory
3,labortaory,2,"Semiconductor Energy Labortaory Co., Ltd.",YES,laboratory
4,laboratry,1,Semiconductor Energy Laboratry Co. Ltd,YES,laboratory
5,laboratroy,2,"Semiconductor Energy Laboratroy Co., Ltd.",YES,laboratory
6,laborator,6,"Semiconductor Energy Laborator Co., Ltd.",YES,laboratory
7,laboraory,1,"Semiconductor Energy Laboraory Co., LTD.",YES,laboratory
8,laboratoryco,1,"Semiconductor Energy LaboratoryCo., Ltd.",YES,laboratory
9,laboratoriya,5,OBSHESTVO S OGRANICHENNOJ OTVETSTVENNOSTYU “LABORATORIYA ELANDIS”,YES,laboratory
10,labortatory,2,"Semiconductor Energy Labortatory Co., Ltd.",YES,laboratory
11,laboroatory,1,"Semiconductor Energy Laboroatory Co., Ltd.",YES,laboratory
12,laborartory,2,"Semiconductor Energy Laborartory Co., Ltd.",YES,laboratory
13,laboraty,1,Matsushita Electric Works Research and Development Laboraty Inc.,YES,laboratory
14,laboratoty,2,"Semiconductor Energy Laboratoty Co., Ltd.",YES,laboratory
15,laboratori,381,CSELT Centro Studi E Laboratori Telecomunicazioni S.P.A.,YES,laboratory
16,laboratoir,1,"Laboratoir Europeen de Recherches Electroniques Avancees, Societe en Nom Collectif",YES,laboratory
17,labortary,2,"Semiconductor Energy Labortary Co., Ltd.",YES,laboratory
18,laboratoryjno,1,Zaklad Aparatury Laboratoryjno-Medycznej Zalmed,YES,laboratory
